customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-DDDD24,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,80.25,882.75,No
9666-CCCC51,Male,0,No,Yes,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,82.31,987.72,Yes
8099-CCCC53,Female,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),70.88,567.04,Yes
2016-BBBB49,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,96.06,2305.44,No
7184-DDDD16,Female,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.72,198.6,No
2028-BBBB23,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),102.9,1337.7,Yes
3693-DDDD37,Male,0,No,No,7,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.2,393.4,Yes
2998-CCCC41,Male,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),91.81,3213.35,No
6791-BBBB41,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.2,553.2,No
9338-DDDD80,Male,1,No,No,24,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,85.93,2062.32,No
4108-DDDD18,Female,0,No,No,56,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,79.86,4472.16,No
