iter	Logloss
0	0.6717640554
1	0.6604324549
2	0.6449834958
3	0.6245805892
4	0.6071506321
5	0.5827670893
6	0.5707807046
7	0.5480675222
8	0.5396963865
9	0.528075736
10	0.514193577
11	0.500490622
12	0.4903799846
13	0.4840905897
14	0.475962771
15	0.4704792308
16	0.4678792548
17	0.4606955736
18	0.4537494006
19	0.4395361433
20	0.4266593737
21	0.4185299944
22	0.4153627122
23	0.4084450628
24	0.3997844003
25	0.3970409396
26	0.3875588168
27	0.3826155331
28	0.3764043828
29	0.36432042
30	0.3593847007
31	0.3530857474
32	0.3490491478
33	0.342441139
34	0.3372585698
35	0.3324914991
36	0.3284902288
37	0.3219333283
38	0.3146512886
39	0.310268722
40	0.3073934809
41	0.3050799972
42	0.3014373518
43	0.2976013272
44	0.2959859765
45	0.2914872567
46	0.2874817165
47	0.2806226747
48	0.2781041728
49	0.2744985689
