iter	Passed	Remaining
0	156	7690
1	158	3811
2	160	2521
3	162	1873
4	164	1482
5	166	1221
6	168	1033
7	170	892
8	172	783
9	173	695
10	175	622
11	177	560
12	178	508
13	180	463
14	181	424
15	183	390
16	185	359
17	187	333
18	189	308
19	190	286
20	192	266
21	194	247
22	196	230
23	197	214
24	199	199
25	202	186
26	204	173
27	205	161
28	207	149
29	208	139
30	210	128
31	211	119
32	213	109
33	214	101
34	216	92
35	218	84
36	220	77
37	221	70
38	223	62
39	224	56
40	226	49
41	228	43
42	230	37
43	232	31
44	233	25
45	235	20
46	237	15
47	239	9
48	240	4
49	242	0
